Fae,5,696
Wall,120,700
Wall,120,650
Wall,120,600
Wall,120,550
Wall,120,500
Wall,120,450
Wall,120,400
Wall,120,250
Wall,120,200
Wall,120,150
Wall,65,150
Wall,177,250
Wall,235,550
Wall,235,500
Wall,235,450
Wall,235,400
Wall,235,350
Wall,235,300
Wall,290,550
Wall,345,550
Wall,485,700
Wall,485,650
Wall,485,600
Wall,292,252
Wall,350,252
Wall,160,10
Wall,220,15
Wall,280,15
Wall,340,15
Wall,340,85
Wall,540,150
Wall,540,100
Wall,615,500
Wall,670,500
Wall,725,500
Wall,780,500
Wall,780,450
Wall,780,400
Wall,780,350
Wall,723,300
Wall,664,250
Wall,604,200
Wall,615,700
Wall,670,700
Wall,725,700
Wall,780,700
Wall,780,640
Wall,960,570
Wall,690,15
Wall,760,75
Wall,830,135
Wall,890,195
Sinkhole,255,655
Sinkhole,960,250
Sinkhole,550,550
Sinkhole,450,150
Sinkhole,58,240
TopLeft,0,0
BottomRight,984,709